n.node_id,n.longitude,n.latitude,elementid(n)
1432255116,20.6090774,-103.3940408,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5852
1455443718,20.6090806,-103.3965496,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6896
1427496619,20.6090821,-103.3682792,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5768
1874587989,20.6090878,-103.4102013,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10585
1455443658,20.6090918,-103.3964395,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6887
1439693472,20.6091108,-103.3932209,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6126
1453347319,20.6091131,-103.3775588,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6652
8341435281,20.6091332,-103.4088018,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14539
1450810333,20.609134,-103.3708798,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6432
8333090838,20.6091454,-103.3959536,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14479
1800778194,20.6091485,-103.4357333,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10323
1453189129,20.6091529,-103.3748955,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6598
7700209245,20.609161,-103.3588122,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13700
2141448557,20.609174,-103.4099195,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11788
1454530723,20.6091741,-103.3790421,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6742
1450810297,20.6091777,-103.3740085,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6423
1427496426,20.6091778,-103.3690337,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5743
1794521396,20.6091843,-103.4341081,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10155
1432255118,20.6091875,-103.3921982,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5853
1430324163,20.6091933,-103.4266073,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5807
1451045752,20.6091938,-103.3825079,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6568
4868671111,20.6091987,-103.3992477,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12594
1432255059,20.6092175,-103.3941246,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5838
7699937627,20.609218,-103.3539365,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13693
8332868296,20.6092189,-103.3953779,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14468
1427496625,20.6092223,-103.3671977,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5771
4620005050,20.6092247,-103.4206276,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12456
8332868295,20.6092484,-103.3954668,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14467
1450810346,20.6092507,-103.372942,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6443
8785028534,20.6092542,-103.3945358,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14910
1430323160,20.6092574,-103.411683,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5785
4760132283,20.6092621,-103.3587897,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12554
7699937626,20.6092705,-103.3539947,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13692
1430324167,20.6092707,-103.4268405,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5809
8785028533,20.6092875,-103.394802,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14909
6146465344,20.6092879,-103.3953477,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12800
1864344298,20.6092931,-103.3840977,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10566
